Experiment	Sweeper	
Saved Date	28.05.2025 16:24:32	
User		
Date		
Start time	28.05.2025 16:07:32	
Sweep channel: Name	- None (Time) -	
Sweep channel: Start (V)	-Inf	
Sweep channel: Stop (V)	Inf	
Sweep channel: Points	20000	
Sweep channel: Max slew rate (V/s)	0E+0	
Sweep channel: Initial settling time (s)	20E+0	
Sweep channel: End settling time (s)	20E+0	
Sweep channel: Backward sweep	FALSE	
Sweep channel: Number of sweeps	1	
Sweep channel: Reset	FALSE	
Sweep Type	1D-Only SweepCh	
Acquire channels	Input 2 (V)	
Filter type	None	
Order		
Cutoff frq		
Comment01	b_P1_peak1_1741_3_top	

[DATA]
Points	Input 2 (V)
1.5000000E+2	-1.2797886E-1
1.5100000E+2	-1.2693527E-1
1.5200000E+2	-1.3017194E-1
1.5300000E+2	-1.2437500E-1
1.5400000E+2	-1.2750410E-1
1.5500000E+2	-1.2311241E-1
1.5600000E+2	-1.2509514E-1
1.5700000E+2	-1.2348884E-1
1.5800000E+2	-1.2138564E-1
1.5900000E+2	-1.2739281E-1
1.6000000E+2	-1.2426054E-1
1.6100000E+2	-1.2593274E-1
1.6200000E+2	-1.2257580E-1
1.6300000E+2	-1.2530489E-1
1.6400000E+2	-1.1772891E-1
1.6500000E+2	-1.2371855E-1
1.6600000E+2	-1.1999211E-1
1.6700000E+2	-1.2337486E-1
1.6800000E+2	-1.2605335E-1
1.6900000E+2	-1.2054401E-1
1.7000000E+2	-1.2377342E-1
1.7100000E+2	-1.1468691E-1
1.7200000E+2	-1.1623283E-1
1.7300000E+2	-1.1493978E-1
1.7400000E+2	-1.2692007E-1
1.7500000E+2	-1.2111348E-1
1.7600000E+2	-1.2594946E-1
1.7700000E+2	-1.2174728E-1
1.7800000E+2	-1.1914334E-1
1.7900000E+2	-1.1374523E-1
1.8000000E+2	-1.1153297E-1
1.8100000E+2	-1.2059034E-1
1.8200000E+2	-1.2296987E-1
1.8300000E+2	-1.2802087E-1
1.8400000E+2	-1.2219204E-1
1.8500000E+2	-1.3245009E-1
1.8600000E+2	-1.2643297E-1
1.8700000E+2	-1.2686795E-1
1.8800000E+2	-1.2211688E-1
1.8900000E+2	-1.2476332E-1
1.9000000E+2	-1.2722525E-1
1.9100000E+2	-1.2376501E-1
1.9200000E+2	-1.2871529E-1
1.9300000E+2	-1.2528333E-1
1.9400000E+2	-1.3009721E-1
1.9500000E+2	-1.2449862E-1
1.9600000E+2	-1.2902218E-1
1.9700000E+2	-1.2178843E-1
1.9800000E+2	-1.3429099E-1
1.9900000E+2	-1.2832908E-1
2.0000000E+2	-1.2810750E-1
2.0100000E+2	-1.2573844E-1
2.0200000E+2	-1.2658323E-1
2.0300000E+2	-1.3149586E-1
2.0400000E+2	-1.2498242E-1
2.0500000E+2	-1.2781160E-1
2.0600000E+2	-1.2538187E-1
2.0700000E+2	-1.3000789E-1
2.0800000E+2	-1.2772208E-1
2.0900000E+2	-1.3499351E-1
2.1000000E+2	-1.2838303E-1
2.1100000E+2	-1.2565596E-1
2.1200000E+2	-1.2499863E-1
2.1300000E+2	-1.3351661E-1
2.1400000E+2	-1.3223702E-1
2.1500000E+2	-1.2401441E-1
2.1600000E+2	-1.2927611E-1
2.1700000E+2	-1.2906715E-1
2.1800000E+2	-1.3437766E-1
2.1900000E+2	-1.2369051E-1
2.2000000E+2	-1.2975778E-1
2.2100000E+2	-1.2417519E-1
2.2200000E+2	-1.2936613E-1
2.2300000E+2	-1.2307457E-1
2.2400000E+2	-1.2395114E-1
2.2500000E+2	-1.2554672E-1
2.2600000E+2	-1.2383685E-1
2.2700000E+2	-1.2145683E-1
2.2800000E+2	-1.1872217E-1
2.2900000E+2	-1.2923177E-1
2.3000000E+2	-1.2223498E-1
2.3100000E+2	-1.2632649E-1
2.3200000E+2	-1.2151290E-1
2.3300000E+2	-1.2549512E-1
2.3400000E+2	-1.2513468E-1
2.3500000E+2	-1.3071458E-1
2.3600000E+2	-1.2930875E-1
2.3700000E+2	-1.2360911E-1
2.3800000E+2	-1.2283137E-1
2.3900000E+2	-1.1798933E-1
2.4000000E+2	-1.3075958E-1
2.4100000E+2	-1.2590162E-1
2.4200000E+2	-1.3267036E-1
2.4300000E+2	-1.1921413E-1
2.4400000E+2	-1.2531309E-1
2.4500000E+2	-1.2174561E-1
2.4600000E+2	-1.2263291E-1
2.4700000E+2	-1.1891814E-1
2.4800000E+2	-1.1863630E-1
2.4900000E+2	-1.2641387E-1
2.5000000E+2	-1.1953502E-1
2.5100000E+2	-1.2196337E-1
2.5200000E+2	-1.1870108E-1
2.5300000E+2	-1.2257413E-1
2.5400000E+2	-1.1770569E-1
2.5500000E+2	-1.2202070E-1
2.5600000E+2	-1.1593810E-1
2.5700000E+2	-1.2331758E-1
2.5800000E+2	-1.2119219E-1
2.5900000E+2	-1.2552664E-1
2.6000000E+2	-1.2798922E-1
2.6100000E+2	-1.2613235E-1
2.6200000E+2	-1.2841086E-1
2.6300000E+2	-1.1814918E-1
2.6400000E+2	-1.2475967E-1
2.6500000E+2	-1.2149273E-1
2.6600000E+2	-1.2390591E-1
2.6700000E+2	-1.1891072E-1
2.6800000E+2	-1.2607270E-1
2.6900000E+2	-1.2276261E-1
2.7000000E+2	-1.2411866E-1
2.7100000E+2	-1.2776008E-1
2.7200000E+2	-1.1940157E-1
2.7300000E+2	-1.2458336E-1
2.7400000E+2	-1.2740859E-1
2.7500000E+2	-1.3052566E-1
2.7600000E+2	-1.2446310E-1
2.7700000E+2	-1.2540796E-1
2.7800000E+2	-1.2368152E-1
2.7900000E+2	-1.2859043E-1
2.8000000E+2	-1.2176456E-1
2.8100000E+2	-1.2592082E-1
2.8200000E+2	-1.2570621E-1
2.8300000E+2	-1.2438415E-1
2.8400000E+2	-1.2533475E-1
2.8500000E+2	-1.2183198E-1
2.8600000E+2	-1.3158658E-1
2.8700000E+2	-1.2705347E-1
2.8800000E+2	-1.2696014E-1
2.8900000E+2	-1.2256454E-1
2.9000000E+2	-1.2611277E-1
2.9100000E+2	-1.2313446E-1
2.9200000E+2	-1.3071011E-1
2.9300000E+2	-1.2834944E-1
2.9400000E+2	-1.2746596E-1
2.9500000E+2	-1.2633017E-1
2.9600000E+2	-1.2648199E-1
2.9700000E+2	-1.2552042E-1
2.9800000E+2	-1.2414318E-1
2.9900000E+2	-1.2198672E-1
3.0000000E+2	-1.1619771E-1
3.0100000E+2	-1.1975425E-1
3.0200000E+2	-1.1871982E-1
3.0300000E+2	-1.2328746E-1
3.0400000E+2	-1.2076586E-1
3.0500000E+2	-1.2149129E-1
3.0600000E+2	-1.2397000E-1
3.0700000E+2	-1.2614454E-1
3.0800000E+2	-1.2911336E-1
3.0900000E+2	-1.2432409E-1
3.1000000E+2	-1.3093811E-1
3.1100000E+2	-1.3006128E-1
3.1200000E+2	-1.2684320E-1
3.1300000E+2	-1.2098601E-1
3.1400000E+2	-1.2973316E-1
3.1500000E+2	-1.2697293E-1
3.1600000E+2	-1.2386269E-1
3.1700000E+2	-1.2453923E-1
3.1800000E+2	-1.1702726E-1
3.1900000E+2	-1.2436689E-1
3.2000000E+2	-1.2258006E-1
3.2100000E+2	-1.2455031E-1
3.2200000E+2	-1.1914222E-1
3.2300000E+2	-1.2756912E-1
3.2400000E+2	-1.1903130E-1
3.2500000E+2	-1.2381555E-1
3.2600000E+2	-1.2593074E-1
3.2700000E+2	-1.3055758E-1
3.2800000E+2	-1.2860762E-1
3.2900000E+2	-1.2441203E-1
3.3000000E+2	-1.2570201E-1
3.3100000E+2	-1.1835875E-1
3.3200000E+2	-1.2343360E-1
3.3300000E+2	-1.1360695E-1
3.3400000E+2	-1.1988659E-1
3.3500000E+2	-1.1921157E-1
3.3600000E+2	-1.2334184E-1
3.3700000E+2	-1.2087951E-1
3.3800000E+2	-1.1961305E-1
3.3900000E+2	-1.2331292E-1
3.4000000E+2	-1.1970918E-1
3.4100000E+2	-1.1839358E-1
3.4200000E+2	-1.1678331E-1
3.4300000E+2	-1.2448391E-1
3.4400000E+2	-1.1811216E-1
3.4500000E+2	-1.2875381E-1
3.4600000E+2	-1.2415814E-1
3.4700000E+2	-1.2537213E-1
3.4800000E+2	-1.1717161E-1
3.4900000E+2	-1.2155912E-1
3.5000000E+2	-1.2550622E-1
3.5100000E+2	-1.2544592E-1
3.5200000E+2	-1.2771779E-1
3.5300000E+2	-1.2730916E-1
3.5400000E+2	-1.2521371E-1
3.5500000E+2	-1.2438148E-1
3.5600000E+2	-1.2611504E-1
